species,island,bill_length_mm,bill_depth_mm,sex,year
Adelie,Torgersen,39.1,18.7,male,2007
Adelie,Torgersen,39.5,17.4,female,2007
Adelie,Torgersen,40.3,18,female,2007
Adelie,Torgersen,36.7,19.3,female,2007
Adelie,Torgersen,39.3,20.6,male,2007
Adelie,Torgersen,38.9,17.8,female,2007
Adelie,Torgersen,39.2,19.6,male,2007
Adelie,Torgersen,41.1,17.6,female,2007
Adelie,Torgersen,38.6,21.2,male,2007
Adelie,Torgersen,34.6,21.1,male,2007
Adelie,Torgersen,36.6,17.8,female,2007
Adelie,Torgersen,38.7,19,female,2007
Adelie,Torgersen,42.5,20.7,male,2007
Adelie,Torgersen,34.4,18.4,female,2007
Adelie,Torgersen,46,21.5,male,2007
Adelie,Biscoe,37.8,18.3,female,2007
Adelie,Biscoe,37.7,18.7,male,2007
Adelie,Biscoe,35.9,19.2,female,2007
Adelie,Biscoe,38.2,18.1,male,2007
Adelie,Biscoe,38.8,17.2,male,2007
Adelie,Biscoe,35.3,18.9,female,2007
Adelie,Biscoe,40.6,18.6,male,2007
Adelie,Biscoe,40.5,17.9,female,2007
Adelie,Biscoe,37.9,18.6,female,2007
Adelie,Biscoe,40.5,18.9,male,2007
Adelie,Dream,39.5,16.7,female,2007
Adelie,Dream,37.2,18.1,male,2007
Adelie,Dream,39.5,17.8,female,2007
Adelie,Dream,40.9,18.9,male,2007
Adelie,Dream,36.4,17,female,2007
Adelie,Dream,39.2,21.1,male,2007
Adelie,Dream,38.8,20,male,2007
Adelie,Dream,42.2,18.5,female,2007
Adelie,Dream,37.6,19.3,female,2007
Adelie,Dream,39.8,19.1,male,2007
Adelie,Dream,36.5,18,female,2007
Adelie,Dream,40.8,18.4,male,2007
Adelie,Dream,36,18.5,female,2007
Adelie,Dream,44.1,19.7,male,2007
Adelie,Dream,37,16.9,female,2007
Adelie,Dream,39.6,18.8,male,2007
Adelie,Dream,41.1,19,male,2007
Adelie,Dream,36,17.9,female,2007
Adelie,Dream,42.3,21.2,male,2007
Adelie,Biscoe,39.6,17.7,female,2008
Adelie,Biscoe,40.1,18.9,male,2008
Adelie,Biscoe,35,17.9,female,2008
Adelie,Biscoe,42,19.5,male,2008
Adelie,Biscoe,34.5,18.1,female,2008
Adelie,Biscoe,41.4,18.6,male,2008
